task_id,judge_model,n_calls,verdicts,judge_product,deferred_reward,final_reward,final_success,status,scored_at
8,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-15T09:52:02+00:00
16,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-15T09:52:06+00:00
17,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,"judge_error: SDKError: API error occurred: Status 429. Body: {""object"":""error"",""message"":""Rate limit exceeded"",""type"":""rate_limited"",""param"":null,""code"":""1300"",""raw_status_code"":429}",2026-08-15T09:52:16+00:00
18,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,"judge_error: SDKError: API error occurred: Status 429. Body: {""object"":""error"",""message"":""Rate limit exceeded"",""type"":""rate_limited"",""param"":null,""code"":""1300"",""raw_status_code"":429}",2026-08-15T09:52:32+00:00
19,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,"judge_error: SDKError: API error occurred: Status 429. Body: {""object"":""error"",""message"":""Rate limit exceeded"",""type"":""rate_limited"",""param"":null,""code"":""1300"",""raw_status_code"":429}",2026-08-15T09:52:48+00:00
20,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,"judge_error: SDKError: API error occurred: Status 429. Body: {""object"":""error"",""message"":""Rate limit exceeded"",""type"":""rate_limited"",""param"":null,""code"":""1300"",""raw_status_code"":429}",2026-08-15T09:53:02+00:00
22,mistral-large-2512,1,[1.0],1.0,1.0,1.0,True,scored,2026-08-15T09:53:02+00:00
24,mistral-large-2512,1,[1.0],1.0,1.0,1.0,True,scored,2026-08-15T09:53:03+00:00
34,mistral-large-2512,1,[0.0],0.0,0.0,0.0,False,scored,2026-08-15T09:53:07+00:00
35,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,"judge_error: SDKError: API error occurred: Status 429. Body: {""object"":""error"",""message"":""Rate limit exceeded"",""type"":""rate_limited"",""param"":null,""code"":""1300"",""raw_status_code"":429}",2026-08-15T09:53:16+00:00
47,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,"judge_error: SDKError: API error occurred: Status 429. Body: {""object"":""error"",""message"":""Rate limit exceeded"",""type"":""rate_limited"",""param"":null,""code"":""1300"",""raw_status_code"":429}",2026-08-15T09:53:33+00:00
48,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,"judge_error: SDKError: API error occurred: Status 429. Body: {""object"":""error"",""message"":""Rate limit exceeded"",""type"":""rate_limited"",""param"":null,""code"":""1300"",""raw_status_code"":429}",2026-08-15T09:53:49+00:00
49,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,"judge_error: SDKError: API error occurred: Status 429. Body: {""object"":""error"",""message"":""Rate limit exceeded"",""type"":""rate_limited"",""param"":null,""code"":""1300"",""raw_status_code"":429}",2026-08-15T09:54:03+00:00
50,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-15T09:54:07+00:00
