intent_template_id,num_instantiations
279,7
79,4
288,5
73,5
222,6
33,5
78,4
77,5
285,3
303,1
300,2
197,5
68,5
69,5
276,4
17,4
70,4
65,3
277,3
72,4
64,5
67,5
274,2
193,1
120,1
66,4
349,5
270,5
245,5
161,1
151,1
250,5
159,3
1001,1
1002,4
322,5
51,4
162,5
155,5
36,5
290,1
255,1
171,5
136,5
289,5
310,5
500,5
368,5
214,5
367,5
366,7
320,3
364,5
249,5
41,3
35,4
135,1
370,5
213,5
39,2
138,5
244,5
46,5
501,5
325,1
312,1
211,5
85,4
139,5
212,5
204,4
210,1
207,3
47,1
234,5
329,5
180,5
321,5
323,5
134,1
324,5
160,5
208,5
147,5
169,5
299,5
248,5
298,2
137,5
49,1
291,1
206,5
58,5
188,1
52,5
266,2
182,1
59,5
781,1
782,1
666,2
1355,1
1356,2
348,5
352,6
6,5
22,5
23,5
355,5
360,3
361,5
237,1
371,7
145,5
156,5
308,5
999,5
331,5
242,5
247,6
251,5
186,5
257,5
292,5
293,5
294,5
275,5
280,5
284,5
287,5
172,5
216,2
189,5
196,5
199,1
354,5
154,5
330,5
240,5
252,5
84,5
87,6
88,5
165,5
351,5
7,5
194,5
339,5
4,5
3765,5
5,5
9,5
11,5
12,5
13,5
15,5
6100,5
16,5
19,5
153,5
327,5
328,6
335,6
337,2
101,5
253,5
116,3
117,5
163,5
256,5
258,5
268,5
271,5
24,5
25,6
1510,6
27,5
94,5
332,10
2100,5
42,4
54,2
75,5
241,3
243,1
246,6
742,6
316,5
191,5
600,5
