task_id,judge_model,n_calls,verdicts,judge_product,deferred_reward,final_reward,final_success,status,scored_at
8,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:13:12+00:00
16,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-23T22:13:18+00:00
17,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-23T22:14:25+00:00
18,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-23T22:14:30+00:00
19,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-23T22:15:39+00:00
20,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-23T22:15:43+00:00
22,mistral-large-2512,1,[1.0],1.0,1.0,1.0,True,scored,2026-08-23T22:15:45+00:00
24,mistral-large-2512,1,[1.0],1.0,1.0,1.0,True,scored,2026-08-23T22:16:47+00:00
47,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-23T22:16:52+00:00
48,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-23T22:17:59+00:00
49,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-23T22:18:04+00:00
50,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-23T22:18:09+00:00
51,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-23T22:19:15+00:00
52,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:19:17+00:00
53,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:19:19+00:00
54,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:19:22+00:00
55,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:20:25+00:00
56,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:20:27+00:00
74,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:20:36+00:00
75,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:20:39+00:00
80,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:21:43+00:00
81,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:21:45+00:00
