generation_step,c,token_id,token_text,memory_count,in_all_memories
2,10,1404,new,2,False
2,10,2441,New,2,False
2,10,3304,Event,1,False
2,10,4102,event,1,False
2,10,5546,First,1,False
2,10,11804,food,1,False
2,10,12828,Customer,1,False
2,10,13644,Food,1,False
2,10,14066,Music,1,False
2,10,15371,customer,1,False
2,10,16707,unique,1,False
2,10,18734,music,1,False
2,10,21257,Excellent,1,False
2,10,27300,Unique,1,False
2,10,30212,positive,6,False
2,10,31827,negative,1,False
2,10,35202,Positive,5,False
2,10,39654,Negative,1,False
2,10,40840,Experience,1,False
2,10,49397,Unexpected,1,False
2,10,52761,enjoy,1,False
2,10,70630,Novel,1,False
2,10,72853,novel,1,False
2,10,111010,delicious,1,False
2,10,177120,Exceptional,1,False
