task_id,judge_model,n_calls,verdicts,judge_product,deferred_reward,final_reward,final_success,status,scored_at
8,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-18T13:24:15+00:00
16,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-18T13:24:21+00:00
17,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-18T13:25:29+00:00
18,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-18T13:25:35+00:00
19,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-18T13:27:09+00:00
20,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-18T13:27:15+00:00
22,mistral-large-2512,1,[1.0],1.0,1.0,1.0,True,scored,2026-08-18T13:27:16+00:00
24,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,"judge_error: ConnectError: [Errno 8] nodename nor servname provided, or not known",2026-08-18T13:34:10+00:00
34,mistral-large-2512,1,[0.0],0.0,0.0,0.0,False,"judge_error: ConnectError: [Errno 8] nodename nor servname provided, or not known",2026-08-18T13:34:15+00:00
35,mistral-large-2512,1,[0.0],0.0,0.0,0.0,False,"judge_error: ConnectError: [Errno 8] nodename nor servname provided, or not known",2026-08-18T13:34:19+00:00
47,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,"judge_error: ConnectError: [Errno 8] nodename nor servname provided, or not known",2026-08-18T13:34:29+00:00
48,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,"judge_error: ConnectError: [Errno 8] nodename nor servname provided, or not known",2026-08-18T13:34:38+00:00
49,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,"judge_error: ConnectError: [Errno 8] nodename nor servname provided, or not known",2026-08-18T13:37:23+00:00
50,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,"judge_error: ConnectError: [Errno 8] nodename nor servname provided, or not known",2026-08-18T13:37:33+00:00
51,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,"judge_error: ConnectError: [Errno 8] nodename nor servname provided, or not known",2026-08-18T13:37:43+00:00
52,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,"judge_error: ConnectError: [Errno 8] nodename nor servname provided, or not known",2026-08-18T13:37:48+00:00
53,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,"judge_error: ConnectError: [Errno 8] nodename nor servname provided, or not known",2026-08-18T13:37:53+00:00
54,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,"judge_error: ConnectError: [Errno 8] nodename nor servname provided, or not known",2026-08-18T13:37:57+00:00
55,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,"judge_error: ConnectError: [Errno 8] nodename nor servname provided, or not known",2026-08-18T13:38:02+00:00
56,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,"judge_error: ConnectError: [Errno 8] nodename nor servname provided, or not known",2026-08-18T13:43:14+00:00
74,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,"judge_error: ConnectError: [Errno 8] nodename nor servname provided, or not known",2026-08-18T13:43:18+00:00
75,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-18T13:43:22+00:00
80,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-18T13:43:26+00:00
81,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-18T13:43:31+00:00
